timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763232095325,318,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-5,text,true,,4361,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232095053,828,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-6,text,true,,3631,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232095643,390,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-5,text,true,,4726,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232095881,343,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-6,text,true,,3996,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232096033,329,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-5,text,true,,5091,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232096224,318,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-6,text,true,,4361,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232096054,871,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-7,text,true,,3631,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232096542,409,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-6,text,true,,4726,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232096925,353,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-7,text,true,,3996,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232096951,363,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-6,text,true,,5091,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232097278,310,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-7,text,true,,4361,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232097042,890,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-8,text,true,,3631,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232097589,403,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-7,text,true,,4726,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232097932,353,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-8,text,true,,3996,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232097992,307,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-7,text,true,,5091,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232098285,351,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-8,text,true,,4361,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232098065,826,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-9,text,true,,3631,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232098636,394,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-8,text,true,,4726,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232098893,374,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-9,text,true,,3996,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232099032,313,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-8,text,true,,5091,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232099267,307,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-9,text,true,,4361,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1763232099058,756,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-10,text,true,,3631,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1763232099574,322,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-9,text,true,,4726,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1763232099815,349,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-10,text,true,,3996,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1763232099896,345,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-9,text,true,,5091,0,2,2,https://dev-finance.netlify.app/#,0,0,0
